Player_ID,Name,Position,Height_Inches,Weight_lbs,PTS,AST,TRB,TOV,FG_Pct,FG3_Pct,FT_Pct,TS_Pct,AST_TO_Ratio
ace97698,Brian Allen,C,82,266,16.0,1.0,14.1,0.9,0.467,0.0,0.643,0.439,1.14
8ebe152e,Paul Martinez,SF,79,189,12.6,1.2,6.5,0.7,0.478,0.274,0.709,0.454,1.7
8d779178,Christopher Wright,C,83,269,6.1,1.3,8.7,0.9,0.502,0.139,0.526,0.449,1.45
f0b6112f,James Hill,SF,77,249,13.1,1.8,5.8,1.7,0.454,0.317,0.799,0.443,1.05
7af2baa0,Scott Johnson,PG,72,179,12.9,2.0,1.5,0.9,0.498,0.432,0.78,0.475,2.19
c2d77169,Jason Martin,SG,77,231,21.6,2.8,2.6,0.7,0.36,0.38,0.719,0.364,3.88
08bb64d5,Michael Thomas,C,82,239,16.7,1.4,10.0,1.6,0.639,0.158,0.547,0.539,0.91
59bec534,David Garcia,PF,82,224,11.2,0.8,5.2,0.7,0.556,0.38,0.56,0.489,1.1
bdd8c247,William Wright,SG,75,195,13.0,1.7,4.1,0.6,0.398,0.384,0.776,0.398,2.66
9dde9073,Joseph Walker,C,81,246,13.0,1.3,7.6,1.1,0.556,0.225,0.45,0.467,1.1
c6310ac0,Christopher Taylor,C,82,264,6.9,0.5,6.0,0.5,0.553,0.176,0.541,0.484,1.0
3b7f8c2c,Jerry Ramirez,SG,73,199,9.9,2.0,4.1,0.7,0.397,0.351,0.861,0.401,2.92
f6f0b02c,Andrew Gonzalez,SF,81,203,15.1,3.9,3.0,3.4,0.42,0.365,0.734,0.412,1.14
3682fd49,Gary White,PF,80,241,11.4,2.4,8.5,1.7,0.52,0.247,0.651,0.478,1.4
782c25f0,Stephen Lewis,PG,74,181,15.2,10.2,3.9,2.0,0.414,0.41,0.767,0.409,5.1
53a888ed,George Anderson,PG,71,166,12.6,6.0,4.7,1.1,0.446,0.339,0.866,0.441,5.59
ffb82bf6,Anthony Johnson,C,83,267,4.1,1.6,10.8,1.3,0.525,0.213,0.8,0.497,1.2
d9b521dc,Raymond Anderson,C,83,248,6.6,1.4,7.9,1.2,0.554,0.102,0.707,0.509,1.15
f85fbc7b,Donald Smith,PG,75,180,12.9,4.0,2.6,2.0,0.449,0.388,0.726,0.433,2.05
39b3f90a,Michael Anderson,PG,76,189,21.5,4.5,1.8,1.8,0.35,0.425,0.852,0.363,2.54
2bed9b46,Robert Perez,PG,74,174,23.8,6.3,3.1,2.0,0.466,0.374,0.818,0.453,3.12
324963d8,Eric Thomas,SF,80,248,18.4,4.1,4.7,4.2,0.411,0.322,0.754,0.406,0.98
d8baa87f,Scott Wilson,C,80,278,9.4,0.8,7.5,0.5,0.451,0.232,0.659,0.429,1.57
e223e269,Joseph Torres,C,80,250,16.7,0.9,6.2,0.7,0.535,0.123,0.4,0.443,1.27
71c9b58a,Frank Thomas,PF,81,250,19.4,2.4,7.5,1.9,0.434,0.38,0.706,0.42,1.25
33f39257,Timothy Gonzalez,PG,73,187,13.4,4.9,2.5,2.0,0.428,0.323,0.743,0.419,2.44
49687498,Richard Ramirez,SF,78,243,6.0,3.6,7.4,1.9,0.38,0.309,0.72,0.38,1.93
bc363ee5,Jose Clark,PF,79,223,19.0,2.2,10.5,2.0,0.543,0.19,0.648,0.494,1.11
0f9967c9,Michael Miller,PG,71,192,13.0,5.3,3.7,1.5,0.452,0.332,0.893,0.447,3.43
e857cd33,Gary Perez,PG,74,191,12.8,6.7,1.7,3.4,0.476,0.341,0.758,0.456,1.98
49f26657,George Gonzalez,SG,75,186,8.2,3.9,2.1,1.6,0.528,0.266,0.916,0.507,2.37
6472c5f9,Andrew Lewis,SG,76,195,18.0,2.9,5.7,1.2,0.446,0.378,0.751,0.433,2.54
b71cd61d,Jose Lopez,SF,80,194,7.6,3.2,5.8,2.2,0.451,0.331,0.778,0.439,1.44
ddd64e70,Jeffrey Thomas,PG,71,187,10.1,6.8,1.3,3.4,0.481,0.374,0.82,0.465,2.01
a32f27e5,Larry Scott,PG,76,195,6.6,3.4,2.4,1.4,0.431,0.376,0.742,0.421,2.39
9dc15dcb,Michael Wright,PG,71,179,8.4,4.2,1.6,2.8,0.381,0.403,0.724,0.381,1.51
8831610b,David Thomas,SG,77,202,11.7,4.1,3.1,2.1,0.446,0.45,0.772,0.435,1.94
85428670,Timothy Young,PF,80,239,19.1,1.0,11.6,1.0,0.542,0.235,0.763,0.506,1.01
bc5a459e,Mark Sanchez,PG,74,169,11.1,5.5,2.9,2.4,0.461,0.359,0.693,0.44,2.28
e7b42eb0,Christopher Harris,PG,74,191,18.3,7.7,3.5,3.2,0.426,0.267,0.834,0.423,2.38
6f4eb839,Matthew Taylor,PF,82,221,7.7,2.3,7.9,2.3,0.541,0.282,0.703,0.499,1.01
fda5bbd9,Edward Ramirez,C,82,256,8.2,0.8,9.2,0.5,0.563,0.102,0.8,0.525,1.57
e227df8d,Scott Martinez,SG,76,196,23.2,3.3,5.5,1.3,0.366,0.383,0.851,0.375,2.45
d2b5370c,Edward Wilson,PG,75,180,19.6,10.6,2.6,3.7,0.408,0.423,0.926,0.413,2.88
7b739f20,Joshua Wright,PG,72,182,8.6,4.2,2.0,2.3,0.392,0.348,0.819,0.395,1.8
36c955a4,Ronald Brown,PG,71,195,13.1,5.9,3.7,2.7,0.374,0.369,0.813,0.38,2.23
c1372b0a,Joshua Walker,C,84,292,7.4,0.7,8.4,0.8,0.517,0.086,0.793,0.49,0.92
c41aa8ed,Stephen Hernandez,PG,72,177,15.9,4.9,3.6,2.8,0.44,0.274,0.924,0.439,1.73
f2b2ab10,Eric Garcia,SG,75,196,17.4,3.5,5.0,0.9,0.541,0.361,0.716,0.5,3.82
a30c598b,William Hill,PG,72,185,21.2,5.0,3.2,1.7,0.429,0.409,0.95,0.431,2.88
59938e07,George Sanchez,PG,72,195,16.7,9.7,3.6,4.7,0.412,0.38,0.889,0.415,2.07
5a9ed786,Gregory Thomas,C,84,271,14.7,1.7,11.6,1.1,0.54,0.165,0.795,0.507,1.57
